,ZillowIndexDate,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
0,Grand Junction,198799.0,199310.0,200019.0,201217.0,202646.0,204359.0,205473.0,206380.0,206262.0,206089.0,205870.0,206833.0,207880.0,209869.0,211034.0,211992.0,212139.0,212916.0,213944.0,215920.0,218233.0,220603.0,222086.0,223540.0,225192.0,226491.0,228003.0,230500.0,233188.0,235259.0,236605.0,237748.0,238510.0,239802.0,241570.0,243382.0,244047.0,243733.0,244346.0,245302.0,247668.0,249012.0,250388.0,251455.0,253659.0,254944.0,256346.0,257011.0,258972.0,261728.0,263850.0,265254.0,265653.0,267109.0,268958.0,271020.0,272388.0,274229.0
1,Durango,411882.0,414127.0,416453.0,417390.0,418687.0,420459.0,421860.0,423862.0,425253.0,426367.0,427304.0,428368.0,429901.0,430896.0,431981.0,432396.0,434021.0,434782.0,436230.0,437732.0,440280.0,442569.0,443009.0,443779.0,445129.0,448558.0,451297.0,452749.0,450669.0,450275.0,450693.0,450267.0,447563.0,445752.0,448071.0,451556.0,454445.0,459675.0,463971.0,469642.0,470526.0,471410.0,469615.0,470044.0,470281.0,470208.0,468336.0,466058.0,463627.0,458854.0,455431.0,452199.0,454210.0,455794.0,458998.0,461168.0,464640.0,468360.0
2,Montrose,245491.0,246607.0,247718.0,248871.0,250000.0,251235.0,252248.0,253364.0,254300.0,255263.0,256259.0,257305.0,258517.0,259777.0,260936.0,261951.0,262817.0,263657.0,264641.0,265665.0,266972.0,268387.0,269957.0,271608.0,273066.0,274082.0,275094.0,276103.0,277346.0,278371.0,279246.0,280197.0,281046.0,281790.0,282916.0,284021.0,285180.0,285886.0,286619.0,287419.0,288428.0,289494.0,290612.0,291621.0,292518.0,292958.0,292710.0,292365.0,292482.0,293171.0,293896.0,294655.0,295222.0,295900.0,296638.0,297474.0,298473.0,299945.0
3,Steamboat Springs,560939.0,564109.0,567128.0,569070.0,571506.0,574420.0,577965.0,580990.0,583659.0,585892.0,588166.0,590276.0,592365.0,594536.0,596385.0,598744.0,599127.0,599507.0,599292.0,601089.0,603168.0,605871.0,609019.0,612934.0,616625.0,619825.0,623541.0,628239.0,634193.0,638309.0,641261.0,642455.0,643853.0,644005.0,645323.0,646523.0,648527.0,649647.0,651789.0,656011.0,663296.0,669084.0,673247.0,673894.0,674711.0,673048.0,670139.0,667033.0,665917.0,665992.0,665643.0,663852.0,660203.0,659121.0,660488.0,665465.0,670768.0,679042.0
4,Fort Morgan,163400.0,164399.0,165402.0,166433.0,167664.0,168931.0,170203.0,171484.0,172772.0,174037.0,175360.0,176740.0,177990.0,179299.0,180496.0,181830.0,183031.0,184386.0,185677.0,187073.0,188518.0,190082.0,191792.0,193534.0,195063.0,196565.0,198113.0,199679.0,201040.0,202163.0,203283.0,204513.0,205678.0,206657.0,207817.0,209002.0,210397.0,211420.0,212432.0,213381.0,214582.0,215695.0,216847.0,217880.0,218922.0,219881.0,220351.0,220740.0,221178.0,221864.0,222507.0,223101.0,223572.0,224132.0,224609.0,225033.0,225409.0,225858.0
5,Glenwood Springs,406115.0,406666.0,409412.0,414240.0,416560.0,416690.0,417280.0,419976.0,424495.0,431344.0,435713.0,439599.0,442350.0,443669.0,445013.0,445262.0,450180.0,456621.0,463169.0,468047.0,470187.0,471848.0,474520.0,479967.0,485818.0,492133.0,495315.0,497725.0,498656.0,500786.0,502133.0,501876.0,502061.0,500902.0,502406.0,501605.0,499990.0,497374.0,497692.0,501998.0,505440.0,507446.0,507143.0,508869.0,510467.0,512842.0,512644.0,512752.0,514379.0,516850.0,518663.0,518100.0,518133.0,518600.0,521389.0,523836.0,526842.0,530049.0
6,Fruita,228993.0,229170.0,229727.0,231090.0,232667.0,234902.0,236342.0,237193.0,236527.0,235839.0,235267.0,236101.0,237468.0,239941.0,241558.0,242752.0,242960.0,243898.0,245093.0,247544.0,250285.0,253110.0,255038.0,257032.0,259399.0,261208.0,263210.0,266538.0,270011.0,272749.0,274291.0,275739.0,276920.0,278753.0,281095.0,283232.0,283942.0,283635.0,284445.0,285477.0,287937.0,288984.0,290342.0,291458.0,294097.0,295526.0,296913.0,297551.0,299660.0,302666.0,304917.0,306412.0,306966.0,308915.0,311301.0,313734.0,315148.0,317210.0
7,Pagosa Springs,274869.0,276478.0,277970.0,278554.0,279700.0,280795.0,281909.0,282798.0,283851.0,284851.0,286147.0,287502.0,286420.0,285456.0,284558.0,286227.0,287584.0,288885.0,290221.0,291791.0,293492.0,295410.0,297400.0,299649.0,302309.0,304792.0,307257.0,309049.0,310547.0,312201.0,313512.0,315324.0,316545.0,317489.0,318736.0,320050.0,321928.0,323353.0,324732.0,326034.0,327572.0,328871.0,330260.0,331349.0,332494.0,333587.0,334055.0,334419.0,334725.0,335431.0,336147.0,336724.0,337292.0,337945.0,338652.0,339256.0,340053.0,340962.0
8,Breckenridge,523905.0,528645.0,535439.0,542180.0,548413.0,551527.0,554870.0,557674.0,561190.0,565898.0,572329.0,579386.0,584588.0,587078.0,589886.0,593891.0,600400.0,607226.0,614364.0,621790.0,629725.0,637471.0,645105.0,651169.0,657499.0,665544.0,674720.0,684043.0,691481.0,698873.0,705108.0,709796.0,713136.0,716502.0,722331.0,726925.0,731508.0,736260.0,742259.0,747448.0,749255.0,750298.0,751984.0,752638.0,752345.0,752890.0,753780.0,756936.0,758367.0,759397.0,758712.0,758317.0,760912.0,764154.0,767377.0,772123.0,778143.0,783510.0
9,Aspen,1725493.0,1737354.0,1746681.0,1754904.0,1762836.0,1772869.0,1780451.0,1786817.0,1791261.0,1799232.0,1810596.0,1820168.0,1826343.0,1832393.0,1840009.0,1847651.0,1854546.0,1864203.0,1874545.0,1887002.0,1898299.0,1910560.0,1921903.0,1934566.0,1945517.0,1955752.0,1966137.0,1976133.0,1986760.0,1990332.0,1993171.0,1993371.0,1997657.0,2003252.0,2014104.0,2025485.0,2035311.0,2040580.0,2045506.0,2049656.0,2051283.0,2056153.0,2059370.0,2066107.0,2068734.0,2071712.0,2068376.0,2064519.0,2063593.0,2066913.0,2070502.0,2075267.0,2082096.0,2089496.0,2098796.0,2106824.0,2117058.0,2126968.0
10,Vail,1841094.0,1830132.0,1816077.0,1808497.0,1808753.0,1812265.0,1811703.0,1816375.0,1825136.0,1837393.0,1844914.0,1854773.0,1864209.0,1884729.0,1902368.0,1915558.0,1925028.0,1936524.0,1955015.0,1971079.0,1983018.0,1993800.0,2005638.0,2018297.0,2027306.0,2032546.0,2042140.0,2057345.0,2072425.0,2082471.0,2093657.0,2106669.0,2123316.0,2129606.0,2131144.0,2136433.0,2146443.0,2153556.0,2145654.0,2129876.0,2117105.0,2119894.0,2140321.0,2160953.0,2172654.0,2171601.0,2175861.0,2179277.0,2183946.0,2189284.0,2203454.0,2220850.0,2235951.0,2240267.0,2228271.0,2214959.0,2207181.0,2213976.0
11,Silverthorne,409683.0,413999.0,419783.0,425231.0,429429.0,431813.0,434417.0,436738.0,438851.0,441977.0,447317.0,453195.0,457824.0,459519.0,461731.0,464753.0,470681.0,476533.0,482444.0,488238.0,494448.0,501060.0,507467.0,513151.0,518775.0,525638.0,533160.0,540554.0,546192.0,551474.0,556457.0,561011.0,565291.0,568987.0,573679.0,576724.0,579164.0,582269.0,586858.0,590566.0,593535.0,595688.0,599030.0,599099.0,597253.0,596398.0,596238.0,598686.0,599966.0,600625.0,599512.0,598866.0,598959.0,599843.0,599845.0,602462.0,606476.0,609751.0
12,Salida,299108.0,301505.0,303821.0,306256.0,308757.0,311376.0,313846.0,316403.0,318971.0,321496.0,324090.0,326614.0,329441.0,332188.0,334923.0,337182.0,339496.0,341723.0,344143.0,346494.0,349064.0,351444.0,353975.0,356788.0,358755.0,360534.0,362138.0,364539.0,366716.0,368566.0,370094.0,371773.0,373195.0,374786.0,377074.0,379571.0,381868.0,383212.0,384164.0,385176.0,386646.0,388432.0,390291.0,391938.0,393535.0,394922.0,395290.0,395272.0,395883.0,397266.0,398957.0,400210.0,401108.0,401840.0,402544.0,403275.0,404068.0,404929.0
13,Basalt,627214.0,626261.0,624585.0,623698.0,626023.0,630759.0,633374.0,637041.0,638146.0,639953.0,640870.0,643590.0,646561.0,652693.0,658370.0,663156.0,665364.0,665307.0,666273.0,666348.0,668496.0,671279.0,674030.0,677326.0,680018.0,683643.0,687857.0,692522.0,696214.0,699958.0,703716.0,708549.0,713828.0,717930.0,721332.0,724139.0,727613.0,729654.0,728943.0,726939.0,727524.0,729357.0,734709.0,737606.0,739524.0,738794.0,739618.0,741043.0,741842.0,742462.0,744791.0,747880.0,749723.0,750820.0,748896.0,748314.0,747737.0,749424.0
14,Edwards,398234.0,396769.0,393827.0,393231.0,394520.0,396472.0,397375.0,398422.0,399683.0,400817.0,402200.0,403384.0,405288.0,408612.0,412525.0,414920.0,416141.0,417464.0,419227.0,420309.0,420671.0,421908.0,423262.0,425142.0,426616.0,427943.0,429890.0,432262.0,434453.0,435457.0,437059.0,439438.0,443251.0,445000.0,445967.0,446557.0,448431.0,449720.0,448482.0,446236.0,444958.0,445737.0,447727.0,449612.0,449718.0,449575.0,449858.0,451425.0,452203.0,453354.0,456188.0,460048.0,463690.0,466588.0,468490.0,470557.0,473815.0,478495.0
15,Leadville,186269.0,187230.0,188560.0,189724.0,190871.0,191607.0,192356.0,193281.0,194213.0,194938.0,195791.0,197166.0,198666.0,200084.0,201150.0,202276.0,203457.0,205077.0,206612.0,207935.0,209063.0,210252.0,211447.0,212739.0,214117.0,216000.0,217719.0,219355.0,220588.0,221702.0,222734.0,223754.0,224822.0,226008.0,227827.0,229365.0,230281.0,230985.0,232025.0,233381.0,234533.0,235681.0,236952.0,238053.0,239113.0,239976.0,240225.0,240483.0,241239.0,241887.0,242402.0,242684.0,243296.0,243844.0,244309.0,244909.0,245514.0,246159.0
16,Buena Vista,259386.0,261321.0,263244.0,265147.0,267008.0,268760.0,270597.0,272529.0,274441.0,276165.0,277909.0,279852.0,281950.0,283965.0,285891.0,287584.0,289418.0,291247.0,293224.0,295317.0,297635.0,299865.0,302188.0,304618.0,306438.0,308176.0,309778.0,311968.0,313882.0,315750.0,317342.0,318828.0,319866.0,321020.0,322924.0,324977.0,326955.0,328176.0,329174.0,330332.0,331659.0,333258.0,334748.0,336269.0,337793.0,339333.0,339942.0,340290.0,341037.0,342381.0,343930.0,345043.0,346066.0,346828.0,347703.0,348515.0,349457.0,350307.0
17,New Castle,299588.0,299455.0,300994.0,304494.0,306070.0,305783.0,305790.0,307116.0,309871.0,314407.0,317423.0,320331.0,323059.0,324596.0,325793.0,325476.0,328576.0,333181.0,337621.0,341276.0,342594.0,343748.0,344850.0,347832.0,351529.0,356205.0,359363.0,361289.0,362404.0,363927.0,365780.0,366277.0,367514.0,367569.0,369569.0,370222.0,369466.0,368121.0,367810.0,371330.0,373612.0,375241.0,374687.0,375942.0,376468.0,378000.0,377878.0,378268.0,379645.0,381256.0,382980.0,382778.0,383380.0,384166.0,386689.0,388767.0,391658.0,394469.0
18,Avon,364914.0,363772.0,361161.0,361154.0,363235.0,365070.0,365938.0,367252.0,369590.0,371730.0,373589.0,374526.0,375779.0,378534.0,382162.0,384718.0,386490.0,388342.0,391670.0,393932.0,395653.0,397559.0,399561.0,402196.0,404344.0,406256.0,408104.0,410271.0,411914.0,413403.0,415057.0,417422.0,420374.0,421896.0,422391.0,423068.0,424462.0,425424.0,424457.0,423313.0,422219.0,423078.0,426086.0,430237.0,431783.0,431166.0,431253.0,432348.0,433295.0,434248.0,436423.0,438631.0,441118.0,442107.0,441023.0,438886.0,438532.0,440485.0
19,Granby,325588.0,327061.0,328510.0,329982.0,330914.0,331700.0,332050.0,332970.0,334246.0,335466.0,336583.0,337790.0,339070.0,340606.0,341688.0,342434.0,342844.0,344230.0,346094.0,348971.0,351220.0,353972.0,357492.0,362145.0,366459.0,369898.0,373881.0,378113.0,382126.0,385143.0,388503.0,391940.0,396696.0,400514.0,405219.0,408095.0,411120.0,412776.0,413807.0,414850.0,416723.0,419080.0,420715.0,421806.0,423500.0,425399.0,425786.0,425364.0,425561.0,427012.0,428462.0,429507.0,429782.0,429647.0,429461.0,429089.0,427433.0,425667.0
20,Mancos,280389.0,281282.0,282019.0,282724.0,283443.0,282045.0,280536.0,279044.0,279991.0,280946.0,282119.0,283002.0,282507.0,282521.0,282872.0,284597.0,285186.0,286185.0,287100.0,288781.0,289710.0,290478.0,291307.0,292375.0,294533.0,296305.0,297875.0,298733.0,300239.0,301945.0,303953.0,305275.0,306107.0,306734.0,308230.0,309918.0,311740.0,312985.0,314136.0,314810.0,315621.0,316615.0,317588.0,318396.0,319629.0,320827.0,321284.0,321247.0,321102.0,321485.0,321951.0,322837.0,323502.0,323851.0,324027.0,324458.0,324854.0,325386.0
21,Parachute,199232.0,199399.0,200762.0,202757.0,203034.0,201812.0,200859.0,200880.0,201886.0,204199.0,205488.0,206578.0,205230.0,203591.0,202071.0,201785.0,203752.0,206835.0,209907.0,212171.0,213410.0,214408.0,216282.0,219375.0,223948.0,227780.0,230358.0,232053.0,233805.0,235658.0,237042.0,238011.0,239255.0,239623.0,240588.0,240823.0,240604.0,240576.0,241233.0,243899.0,245726.0,247013.0,247466.0,248735.0,249747.0,251399.0,252130.0,253137.0,254354.0,255906.0,257606.0,257961.0,258549.0,259376.0,261202.0,262833.0,264809.0,266788.0
22,Keystone,383209.0,387618.0,393218.0,398539.0,403188.0,405772.0,409025.0,411244.0,414142.0,418037.0,424080.0,429647.0,433904.0,435512.0,437944.0,441114.0,446558.0,452097.0,457845.0,463642.0,469721.0,476389.0,483039.0,490044.0,496604.0,504428.0,511782.0,519430.0,525816.0,532547.0,538903.0,544686.0,549888.0,553867.0,558221.0,560122.0,562465.0,565735.0,570426.0,573834.0,578081.0,581740.0,586109.0,585479.0,583305.0,581780.0,581382.0,583551.0,584353.0,584105.0,582575.0,581573.0,579930.0,578448.0,576355.0,578124.0,581014.0,583575.0
23,Palisade,241829.0,242613.0,243000.0,244613.0,245989.0,248800.0,250331.0,251612.0,251713.0,252440.0,253692.0,255488.0,256540.0,258301.0,259016.0,259481.0,259472.0,260047.0,261846.0,264109.0,266982.0,269348.0,270858.0,272736.0,275221.0,277838.0,280744.0,284138.0,287484.0,290832.0,293451.0,295644.0,296496.0,297852.0,300725.0,304430.0,306483.0,305661.0,305893.0,308098.0,312641.0,313923.0,313856.0,314182.0,317688.0,320662.0,322457.0,322671.0,324868.0,329350.0,333301.0,335667.0,336546.0,340129.0,345241.0,350457.0,354051.0,358250.0
24,Crested Butte,568513.0,575400.0,581827.0,585128.0,587809.0,590631.0,594146.0,595665.0,598009.0,599745.0,604079.0,607827.0,609256.0,610752.0,612163.0,615697.0,619359.0,623165.0,627257.0,632975.0,639201.0,645416.0,650521.0,655864.0,660933.0,666079.0,671433.0,676960.0,682318.0,686485.0,689978.0,693308.0,696615.0,700230.0,704316.0,707299.0,710026.0,711501.0,713593.0,715846.0,718144.0,720994.0,723921.0,726717.0,729320.0,730874.0,731631.0,732826.0,735130.0,738216.0,740590.0,742208.0,743728.0,745255.0,746856.0,748235.0,749528.0,751385.0
25,Carbondale,569915.0,571564.0,575636.0,582261.0,585581.0,586293.0,588169.0,591989.0,598075.0,606710.0,612405.0,617449.0,621503.0,622654.0,624398.0,626730.0,635550.0,644365.0,650280.0,655622.0,658078.0,662311.0,666578.0,674249.0,681556.0,692184.0,698255.0,701145.0,701307.0,705071.0,708635.0,710066.0,711945.0,710886.0,711732.0,709046.0,706633.0,703461.0,702769.0,707782.0,710470.0,712692.0,714232.0,718390.0,720713.0,723087.0,723891.0,727014.0,731138.0,734876.0,739018.0,740404.0,744004.0,746691.0,751080.0,754931.0,760945.0,768252.0
26,Whitewater,273908.0,273537.0,272950.0,273731.0,275089.0,278345.0,279324.0,279198.0,276645.0,276053.0,275070.0,276125.0,276697.0,278788.0,278591.0,277961.0,275530.0,273821.0,272929.0,273768.0,276150.0,278377.0,279579.0,281060.0,282946.0,284583.0,288207.0,292713.0,298335.0,303652.0,308552.0,313069.0,315956.0,319209.0,322488.0,325113.0,326281.0,326450.0,328731.0,331189.0,336527.0,338008.0,338534.0,337969.0,338709.0,339311.0,340001.0,341112.0,343617.0,346968.0,348304.0,349387.0,348313.0,350615.0,354155.0,358735.0,363288.0,368094.0
27,Rangely,173300.0,174851.0,176493.0,178226.0,179854.0,181512.0,182699.0,183847.0,184179.0,184572.0,185240.0,186510.0,188258.0,190371.0,192496.0,194089.0,195136.0,195993.0,197467.0,198635.0,200752.0,202527.0,204722.0,206270.0,207312.0,207050.0,206548.0,206596.0,207453.0,207590.0,207475.0,207524.0,206745.0,205721.0,204727.0,204710.0,204760.0,204267.0,203755.0,202904.0,202842.0,202915.0,203381.0,203227.0,203096.0,202521.0,201470.0,200172.0,198942.0,198494.0,198056.0,197637.0,196302.0,195120.0,193559.0,192342.0,191225.0,190509.0
28,Hayden,297930.0,298617.0,298818.0,299399.0,301211.0,302901.0,304243.0,304695.0,305482.0,305797.0,305863.0,305232.0,305644.0,306507.0,307615.0,307659.0,304876.0,302290.0,299601.0,299158.0,298877.0,299277.0,300111.0,301065.0,301469.0,302064.0,303020.0,305010.0,307661.0,309728.0,311283.0,311776.0,312007.0,311542.0,312116.0,312856.0,314067.0,314323.0,315131.0,316905.0,320819.0,324094.0,326568.0,327351.0,328096.0,327828.0,326378.0,325132.0,324991.0,325672.0,326097.0,325936.0,324790.0,324787.0,326082.0,329178.0,332826.0,337935.0
29,Mack,188547.0,189239.0,190972.0,194071.0,197238.0,200171.0,201346.0,201214.0,200743.0,200210.0,199164.0,198655.0,200462.0,205384.0,207844.0,209019.0,206659.0,205545.0,206305.0,209940.0,213930.0,215904.0,219301.0,221194.0,221557.0,219385.0,219690.0,222014.0,225655.0,229197.0,232219.0,235296.0,236459.0,239848.0,242481.0,247380.0,251017.0,254024.0,254961.0,257550.0,262225.0,267538.0,269254.0,268895.0,268668.0,267980.0,267375.0,266262.0,266900.0,268901.0,272085.0,273446.0,273697.0,273603.0,276691.0,281201.0,287154.0,293395.0
30,Crawford,294659.0,297306.0,299965.0,302137.0,303322.0,304130.0,304193.0,304868.0,305657.0,306789.0,308991.0,311098.0,312677.0,313280.0,314179.0,315518.0,316964.0,317705.0,319302.0,320433.0,322114.0,323352.0,325459.0,327203.0,328499.0,330104.0,331362.0,333035.0,333871.0,334986.0,335459.0,336375.0,336990.0,338294.0,339039.0,340844.0,342125.0,342530.0,341917.0,341778.0,343068.0,344855.0,346254.0,347620.0,348551.0,349078.0,348916.0,348550.0,348990.0,350137.0,352210.0,353685.0,354530.0,355059.0,356109.0,357134.0,358631.0,360308.0
31,Oak Creek,366480.0,367936.0,369026.0,369213.0,370277.0,371883.0,374066.0,375356.0,376186.0,376908.0,377731.0,378399.0,379125.0,380269.0,381751.0,383380.0,382866.0,381619.0,379795.0,380091.0,381023.0,382666.0,384418.0,386223.0,388102.0,389696.0,391659.0,394026.0,396965.0,399762.0,403006.0,405590.0,407495.0,407655.0,408352.0,409446.0,411185.0,412135.0,413397.0,415656.0,420257.0,423888.0,426253.0,426133.0,426124.0,425377.0,424236.0,423314.0,423067.0,423752.0,424349.0,424483.0,423462.0,423837.0,425513.0,429441.0,434007.0,440397.0
